Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	19:24:03	19:24:03	19:24:03			19:24:03	19:24:04	19:24:04	19:24:04	19:24:04	19:24:04	19:24:04	19:24:05	19:24:05	19:24:05	19:24:05	19:24:05	19:24:05			19:24:06	19:24:06		00:00:00		00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
1	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:06	19:24:07	19:24:07	19:24:07	19:24:07	19:24:07	19:24:07			19:24:08	19:24:08		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
2	19:24:08	19:24:08	19:24:08	19:24:08	19:24:08	19:24:08			19:24:08	19:24:08	19:24:08	19:24:08	19:24:09	19:24:09	19:24:09	19:24:09	19:24:09	19:24:09			19:24:09	19:24:09		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
3	19:24:09	19:24:09	19:24:09	19:24:09	19:24:09	19:24:09			19:24:09	19:24:09	19:24:09	19:24:09	19:24:10	19:24:10	19:24:10	19:24:10	19:24:10	19:24:10			19:24:10	19:24:10		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
4	19:24:10	19:24:10	19:24:10	19:24:10	19:24:10	19:24:10			19:24:10	19:24:10	19:24:10	19:24:10	19:24:11	19:24:11	19:24:11	19:24:11	19:24:11	19:24:11			19:24:11	19:24:11		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
5	19:24:11	19:24:11	19:24:11	19:24:11	19:24:11	19:24:11			19:24:11	19:24:11	19:24:11	19:24:11	19:24:12	19:24:12	19:24:12	19:24:12	19:24:12	19:24:12			19:24:12	19:24:12		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	19:24:13	19:24:13	19:24:13	19:24:13	19:24:13	19:24:13			19:24:13	19:24:13	19:24:13	19:24:13	19:24:13	19:24:13	19:24:13	19:24:13	19:24:13	19:24:13			19:24:14	19:24:14		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
7	19:24:14	19:24:14	19:24:14	19:24:14	19:24:14	19:24:14			19:24:14	19:24:14	19:24:14	19:24:14	19:24:14	19:24:14	19:24:14	19:24:14	19:24:14	19:24:14			19:24:15	19:24:15		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	19:24:15	19:24:15	19:24:15	19:24:15	19:24:15	19:24:15			19:24:15	19:24:15	19:24:15	19:24:15	19:24:16	19:24:16	19:24:16	19:24:16	19:24:16	19:24:16			19:24:16	19:24:16		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
9	19:24:16	19:24:16	19:24:16	19:24:16	19:24:16	19:24:16			19:24:16	19:24:16	19:24:16	19:24:16	19:24:17	19:24:17	19:24:17	19:24:17	19:24:17	19:24:17			19:24:17	19:24:17		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	19:24:17	19:24:17	19:24:17	19:24:17	19:24:17	19:24:17	19:24:17	19:24:17	19:24:17	19:24:17	19:24:17	19:24:17	19:24:18	19:24:18	19:24:18	19:24:18	19:24:18	19:24:18	19:24:18	19:24:18	19:24:18	19:24:18		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
