Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:35:40	12:35:40	12:35:40			12:35:40	12:35:40	12:35:40	12:35:40	12:35:40	12:35:40	12:35:40	12:35:42	12:35:42	12:35:42	12:35:42	12:35:42	12:35:42			12:35:43	12:35:43		00:00:00		00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
1	12:35:43	12:35:43	12:35:43	12:35:43	12:35:43	12:35:43	12:35:43	12:35:43	12:35:43	12:35:43	12:35:43	12:35:43	12:35:44	12:35:44	12:35:44	12:35:44	12:35:44	12:35:44			12:35:45	12:35:45		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
2	12:35:45	12:35:45	12:35:45	12:35:45	12:35:45	12:35:45			12:35:45	12:35:45	12:35:45	12:35:45	12:35:46	12:35:46	12:35:46	12:35:46	12:35:46	12:35:46			12:35:46	12:35:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
3	12:35:46	12:35:46	12:35:46	12:35:46	12:35:46	12:35:46			12:35:46	12:35:46	12:35:46	12:35:46	12:35:47	12:35:47	12:35:47	12:35:47	12:35:47	12:35:47			12:35:48	12:35:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
4	12:35:48	12:35:48	12:35:48	12:35:48	12:35:48	12:35:48			12:35:48	12:35:48	12:35:48	12:35:48	12:35:49	12:35:49	12:35:49	12:35:49	12:35:49	12:35:49			12:35:49	12:35:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
5	12:35:49	12:35:49	12:35:49	12:35:49	12:35:49	12:35:49			12:35:49	12:35:49	12:35:49	12:35:49	12:35:50	12:35:50	12:35:50	12:35:50	12:35:50	12:35:50			12:35:50	12:35:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	12:35:50	12:35:50	12:35:50	12:35:50	12:35:50	12:35:50			12:35:50	12:35:50	12:35:50	12:35:50	12:35:51	12:35:51	12:35:51	12:35:51	12:35:51	12:35:51			12:35:52	12:35:52		00:00:00	00:00:00		00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:01
7	12:35:52	12:35:52	12:35:52	12:35:52	12:35:52	12:35:52			12:35:52	12:35:52	12:35:52	12:35:52	12:35:53	12:35:53	12:35:53	12:35:53	12:35:53	12:35:53			12:35:53	12:35:53		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	12:35:53	12:35:53	12:35:53	12:35:53	12:35:53	12:35:53			12:35:53	12:35:53	12:35:53	12:35:53	12:35:54	12:35:54	12:35:54	12:35:54	12:35:54	12:35:54			12:35:54	12:35:54		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
9	12:35:54	12:35:54	12:35:54	12:35:54	12:35:54	12:35:54			12:35:54	12:35:54	12:35:54	12:35:54	12:35:55	12:35:55	12:35:55	12:35:55	12:35:55	12:35:55			12:35:56	12:35:56		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	12:35:56	12:35:56	12:35:56	12:35:56	12:35:56	12:35:56	12:35:56	12:35:56	12:35:56	12:35:56	12:35:56	12:35:56	12:35:57	12:35:57	12:35:57	12:35:57	12:35:57	12:35:57	12:35:57	12:35:57	12:35:57	12:35:57		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
