Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN prepareForMobsim	END prepareForMobsim	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	prepareForMobsim	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
0	12:00:37	12:00:37	12:00:37			12:00:37	12:00:37	12:00:37	12:00:37	12:00:37	12:00:37	12:00:37	12:00:38	12:00:38	12:00:38	12:00:38	12:00:38	12:00:38			12:00:39	12:00:39		00:00:00		00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
1	12:00:39	12:00:39	12:00:39	12:00:39	12:00:39	12:00:39	12:00:39	12:00:39	12:00:39	12:00:39	12:00:39	12:00:39	12:00:40	12:00:40	12:00:40	12:00:40	12:00:40	12:00:40			12:00:41	12:00:41		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
2	12:00:41	12:00:41	12:00:41	12:00:41	12:00:41	12:00:41			12:00:41	12:00:41	12:00:41	12:00:41	12:00:42	12:00:42	12:00:42	12:00:42	12:00:42	12:00:42			12:00:42	12:00:42		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
3	12:00:42	12:00:42	12:00:42	12:00:42	12:00:42	12:00:42			12:00:42	12:00:42	12:00:42	12:00:42	12:00:43	12:00:43	12:00:43	12:00:43	12:00:43	12:00:43			12:00:43	12:00:43		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
4	12:00:43	12:00:43	12:00:43	12:00:43	12:00:43	12:00:43			12:00:43	12:00:43	12:00:43	12:00:43	12:00:44	12:00:44	12:00:44	12:00:44	12:00:44	12:00:44			12:00:44	12:00:44		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
5	12:00:45	12:00:45	12:00:45	12:00:45	12:00:45	12:00:45			12:00:45	12:00:45	12:00:45	12:00:45	12:00:45	12:00:45	12:00:45	12:00:45	12:00:45	12:00:45			12:00:46	12:00:46		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
6	12:00:46	12:00:46	12:00:46	12:00:46	12:00:46	12:00:46			12:00:46	12:00:46	12:00:46	12:00:46	12:00:46	12:00:46	12:00:46	12:00:46	12:00:46	12:00:46			12:00:47	12:00:47		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
7	12:00:47	12:00:47	12:00:47	12:00:47	12:00:47	12:00:47			12:00:47	12:00:47	12:00:47	12:00:47	12:00:47	12:00:47	12:00:47	12:00:47	12:00:47	12:00:47			12:00:48	12:00:48		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
8	12:00:48	12:00:48	12:00:48	12:00:48	12:00:48	12:00:48			12:00:48	12:00:48	12:00:48	12:00:48	12:00:49	12:00:49	12:00:49	12:00:49	12:00:49	12:00:49			12:00:49	12:00:49		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
9	12:00:49	12:00:49	12:00:49	12:00:49	12:00:49	12:00:49			12:00:49	12:00:49	12:00:49	12:00:49	12:00:50	12:00:50	12:00:50	12:00:50	12:00:50	12:00:50			12:00:50	12:00:50		00:00:00	00:00:00		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00		00:00:00	00:00:01
10	12:00:50	12:00:50	12:00:50	12:00:50	12:00:50	12:00:50	12:00:50	12:00:50	12:00:50	12:00:50	12:00:50	12:00:50	12:00:51	12:00:51	12:00:51	12:00:51	12:00:51	12:00:51	12:00:51	12:00:51	12:00:51	12:00:51		00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:00	00:00:01
